DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
29-Sep-2025,EQ,"5,328.00","5,429.00","5,269.00","5,328.00","5,345.50","5,300.50","5,305.97","5,890.00","3,344.00",8318930,"44,14,00,33,567.00",183164
26-Sep-2025,EQ,"5,354.50","5,454.00","5,308.50","5,354.50","5,319.00","5,328.00","5,383.55","6,246.25","3,344.00",689941,"3,71,43,33,808.50",74366
25-Sep-2025,EQ,"5,270.00","5,374.00","5,231.00","5,277.00","5,356.50","5,354.50","5,310.92","6,246.25","3,344.00",640474,"3,40,15,06,732.50",60414
24-Sep-2025,EQ,"5,370.00","5,376.00","5,265.00","5,370.50","5,270.00","5,277.00","5,302.39","6,246.25","3,344.00",410267,"2,17,53,95,558.00",44352
23-Sep-2025,EQ,"5,450.00","5,514.00","5,351.00","5,429.50","5,365.00","5,370.50","5,416.05","6,246.25","3,344.00",507377,"2,74,79,80,582.00",58841
22-Sep-2025,EQ,"5,409.00","5,499.00","5,400.00","5,408.00","5,416.50","5,429.50","5,470.93","6,246.25","3,344.00",672445,"3,67,88,97,916.00",54066
19-Sep-2025,EQ,"5,390.00","5,435.00","5,372.00","5,370.00","5,415.00","5,408.00","5,399.31","6,246.25","3,344.00",579031,"3,12,63,69,323.00",38749
18-Sep-2025,EQ,"5,360.00","5,387.00","5,340.00","5,350.00","5,374.50","5,370.00","5,366.95","6,246.25","3,344.00",420977,"2,25,93,63,287.00",33380
17-Sep-2025,EQ,"5,344.00","5,388.00","5,310.50","5,316.00","5,350.00","5,350.00","5,358.08","6,246.25","3,344.00",616629,"3,30,39,48,241.00",45214
16-Sep-2025,EQ,"5,307.00","5,349.00","5,284.00","5,288.50","5,317.00","5,316.00","5,323.34","6,246.25","3,344.00",925160,"4,92,49,38,977.50",58356
15-Sep-2025,EQ,"5,324.00","5,356.00","5,268.00","5,301.50","5,292.00","5,288.50","5,299.45","6,246.25","3,344.00",588879,"3,12,07,35,475.50",44001
12-Sep-2025,EQ,"5,306.00","5,389.50","5,286.00","5,302.00","5,310.00","5,301.50","5,323.63","6,246.25","3,344.00",537933,"2,86,37,56,675.50",56555
